,D1,D2,D3
T6853,3.40009204173895,4.07819820271236,5.53856172804759
T6854,3.39990205023026,4.077953232133,5.53814591877304
T6855,3.39971203619488,4.07770823456158,5.53773007616528
T6856,3.39952199974357,4.07746321014162,5.53731420047148
T6857,3.39933194098736,4.07721815901695,5.5368982919393
T6858,3.399141860037,4.07697308133108,5.53648235081581
T6859,3.39895175700341,4.07672797722772,5.53606637734838
T6860,3.39876163199739,4.0764828468504,5.53565037178409
T6861,3.39857148512975,4.07623769034269,5.53523433437002
T6862,3.39838131651122,4.07599250784802,5.53481826535302
T6863,3.39819112625246,4.07574729950975,5.53440216497972
T6864,3.39800091446432,4.07550206547147,5.5339860334972
T6865,3.39781068125741,4.07525680587645,5.53356987115192
T6866,3.39762042674234,4.07501152086798,5.53315367819034
T6867,3.39743015102976,4.07476621058935,5.53273745485893
T6868,3.39723985423032,4.07452087518389,5.53232120140415
T6869,3.39704953645448,4.07427551479468,5.53190491807203
T6870,3.3968591978129,4.07403012956502,5.53148860510892
T6871,3.396668838416,4.07378471963792,5.53107226276073
T6872,3.39647845837431,4.07353928515652,5.53065589127345
T6873,3.39628805779823,4.07329382626377,5.5302394908928
T6874,3.39609763679829,4.07304834310283,5.52982306186479
T6875,3.39590719548472,4.07280283581643,5.52940660443468
T6876,3.39571673396804,4.07255730454768,5.52899011884834
T6877,3.39552625235853,4.07231174943936,5.52857360535106
T6878,3.39533575076651,4.07206617063432,5.52815706418823
T6879,3.39514522930232,4.07182056827544,5.52774049560524
T6880,3.39495468807608,4.07157494250527,5.52732389984688
T6881,3.39476412719812,4.07132929346666,5.52690727715847
T6882,3.39457354677865,4.07108362130229,5.52649062778495
T6883,3.39438294692774,4.07083792615466,5.526073951971
T6884,3.39419232775563,4.07059220816648,5.52565724996153
T6885,3.39400168937239,4.07034646748023,5.52524052200114
T6886,3.39381103188812,4.07010070423843,5.52482376833438
T6887,3.39362035541282,4.06985491858347,5.52440698920559
T6888,3.39342966005659,4.06960911065787,5.5239901848593
T6889,3.39323894592936,4.06936328060389,5.52357335553958
T6890,3.39304821314109,4.06911742856388,5.52315650149058
T6891,3.39285746180181,4.06887155468024,5.52273962295655
T6892,3.3926666920213,4.06862565909503,5.52232272018113
T6893,3.39247590390949,4.06837974195054,5.52190579340831
T6894,3.3922850975763,4.06813380338901,5.52148884288193
T6895,3.39209427313144,4.06788784355242,5.52107186884545
T6896,3.3919034306847,4.06764186258283,5.52065487154237
T6897,3.39171257034591,4.06739586062238,5.52023785121628
T6898,3.39152169222473,4.06714983781296,5.51982080811039
T6899,3.39133079643094,4.06690379429661,5.51940374246805
T6900,3.3911398830741,4.06665773021509,5.51898665453219
T6901,3.3909489522639,4.06641164571034,5.51856954454593
T6902,3.39075800410995,4.06616554092414,5.51815241275219
T6903,3.39056703872186,4.0659194159983,5.51773525939383
T6904,3.39037605620912,4.06567327107451,5.51731808471349
T6905,3.39018505668123,4.06542710629438,5.51690088895369
T6906,3.38999404024774,4.06518092179965,5.51648367235709
T6907,3.3898030070181,4.0649347177319,5.51606643516608
T6908,3.38961195710166,4.0646884942326,5.51564917762282
T6909,3.38942089060787,4.06444225144329,5.51523189996958
T6910,3.38922980764609,4.06419598950542,5.51481460244844
T6911,3.38903870832564,4.06394970856042,5.51439728530138
T6912,3.38884759275581,4.06370340874962,5.51397994877023
T6913,3.38865646104594,4.06345709021445,5.51356259309695
T6914,3.38846531330517,4.06321075309604,5.51314521852297
T6915,3.38827414964276,4.06296439753571,5.51272782528997
T6916,3.38808297016788,4.06271802367463,5.5123104136394
T6917,3.38789177498965,4.06247163165391,5.51189298381253
T6918,3.3877005642173,4.06222522161479,5.51147553605088
T6919,3.38750933795971,4.06197879369809,5.51105807059517
T6920,3.38731809632612,4.06173234804503,5.51064058768682
T6921,3.38712683942545,4.06148588479646,5.51022308756656
T6922,3.38693556736664,4.06123940409324,5.50980557047512
T6923,3.38674428025881,4.06099290607644,5.50938803665353
T6924,3.38655297821077,4.06074639088675,5.50897048634222
T6925,3.38636166133138,4.06049985866489,5.50855291978157
T6926,3.3861703297296,4.06025330955173,5.50813533721222
T6927,3.38597898351424,4.06000674368795,5.50771773887443
T6928,3.38578762279402,4.05976016121409,5.50730012500821
T6929,3.38559624767778,4.05951356227082,5.50688249585381
T6930,3.38540485827429,4.05926694699875,5.50646485165127
T6931,3.38521345469211,4.05902031553822,5.50604719264017
T6932,3.38502203704001,4.0587736680298,5.50562951906049
T6933,3.3848306054266,4.05852700461388,5.50521183115183
T6934,3.3846391599605,4.05828032543083,5.50479412915375
T6935,3.38444770075029,4.05803363062099,5.50437641330572
T6936,3.38425622790454,4.05778692032467,5.50395868384713
T6937,3.38406474153161,4.05754019468193,5.50354094101691
T6938,3.38387324174017,4.05729345383317,5.50312318505458
T6939,3.38368172863851,4.05704669791834,5.50270541619883
T6940,3.38349020233507,4.05679992707757,5.50228763468862
T6941,3.38329866293832,4.05655314145102,5.50186984076295
T6942,3.38310711055648,4.05630634117852,5.50145203466025
T6943,3.38291554529792,4.05605952640009,5.5010342166192
T6944,3.38272396727097,4.05581269725568,5.50061638687839
T6945,3.38253237658379,4.05556585388507,5.500198545676
T6946,3.38234077334458,4.05531899642804,5.49978069325028
T6947,3.38214915766159,4.05507212502441,5.49936282983948
T6948,3.38195752964292,4.05482523981385,5.49894495568156
T6949,3.38176588939666,4.05457834093599,5.4985270710144
T6950,3.38157423703094,4.05433142853053,5.49810917607593
T6951,3.38138257265378,4.05408450273697,5.49769127110378
T6952,3.38119089637322,4.05383756369488,5.49727335633562
T6953,3.38099920829717,4.05359061154365,5.49685543200879
T6954,3.38080750853366,4.05334364642279,5.49643749836084
T6955,3.38061579719051,4.05309666847158,5.49601955562884
T6956,3.38042407437566,4.05284967782942,5.49560160405011
T6957,3.38023234019695,4.05260267463557,5.49518364386165
T6958,3.38004059476212,4.05235565902921,5.49476567530029
